Time,SNN_Lat,ANN_Lat,R,G,B,SNN_Act,ANN_Act
0.0,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.055,8.0,1648.0,0.0,0.0,0.0,0.0,2.0
0.11,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.165,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.22,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
0.275,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.33,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.385,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.44,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.495,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
0.55,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
0.605,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.66,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
0.715,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.77,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.825,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.88,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
0.935,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
0.99,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
1.045,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.1,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
1.155,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.21,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.265,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
1.32,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
1.375,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
1.43,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.485,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.54,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
1.595,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
1.65,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
1.705,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.76,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
1.815,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
1.87,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
1.925,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
1.98,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.035,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
2.09,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
2.145,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
2.2,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
2.255,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.31,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.365,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
2.42,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
2.475,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
2.53,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.585,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
2.64,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
2.695,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
2.75,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.805,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.86,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
2.915,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
2.97,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.025,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.08,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
3.1350000000000002,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.19,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.245,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.3,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.355,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
3.41,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.465,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
3.52,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.575,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.63,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.685,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
3.74,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.795,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.85,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
3.905,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
3.96,16.0,1652.0,0.0,0.0,0.0,0.0,2.0
4.015,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.07,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.125,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
4.18,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
4.235,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.29,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.345,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.4,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.455,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.51,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.565,8.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.62,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
4.675,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.73,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.785,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
4.84,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
4.8950000000000005,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
4.95,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
5.005,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
5.06,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
5.115,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
5.17,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
5.225,16.0,1652.0,0.0,0.0,0.0,0.0,2.0
5.28,8.0,1664.0,0.0,0.0,0.04,0.0,2.0
5.335,6156.0,1664.0,0.0,0.09,0.11,0.0,2.0
5.39,12.0,1680.0,0.0,0.05,0.07,0.0,2.0
5.445,12.0,1684.0,0.0,0.05,0.07,0.0,2.0
5.5,8.0,1660.0,0.0,0.0,0.04,0.0,2.0
5.555,6248.0,1672.0,0.0,0.13,0.14,0.0,2.0
5.61,6156.0,1656.0,0.0,0.24,0.24,0.0,2.0
5.665,6272.0,1712.0,0.0,0.32,0.31,0.0,2.0
5.72,6260.0,1740.0,0.0,0.39,0.35,0.0,2.0
5.775,6224.0,1756.0,0.0,0.42,0.42,0.0,2.0
5.83,6228.0,1744.0,0.0,0.46,0.44,1.0,2.0
5.885,6272.0,1736.0,0.0,0.48,0.45,1.0,2.0
5.94,6332.0,1728.0,0.0,0.51,0.5,1.0,2.0
5.995,6304.0,1740.0,0.0,0.52,0.48,1.0,2.0
6.05,6292.0,1740.0,0.0,0.51,0.48,1.0,2.0
6.105,6328.0,1736.0,0.0,0.5,0.47,1.0,2.0
6.16,6256.0,1768.0,0.0,0.4,0.39,1.0,2.0
6.215,6300.0,1708.0,0.0,0.34,0.33,1.0,2.0
6.2700000000000005,6256.0,1768.0,0.0,0.4,0.4,1.0,2.0
6.325,6256.0,1756.0,0.0,0.41,0.4,1.0,2.0
6.38,6276.0,1740.0,0.0,0.36,0.34,1.0,2.0
6.435,6280.0,1684.0,0.0,0.31,0.3,1.0,2.0
6.49,6196.0,1612.0,0.0,0.2,0.2,1.0,2.0
6.545,6256.0,1664.0,0.0,0.14,0.15,1.0,2.0
